Geography,Sex (3),Detailed Mother,Total - Knowledge of Official Languages,  English only,  French only,  Both English and French,  Neither English nor French
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,Total - Detailed Mother Tongue,899970,813315,1370,83980,1300
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,Single responses,895775,811195,1370,81970,1240
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,  English,836240,788700,15,47425,105
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,  French,35040,1330,1355,32350,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,  Non-official languages,24495,21170,0,2195,1130
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Aboriginal languages,4070,3925,0,30,110
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Algonquian languages,4020,3875,0,30,110
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Algonquin,15,10,0,0,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Attikamek,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Blackfoot,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Cree,20,15,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Malecite,0,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Micmac,3960,3825,0,25,110
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Montagnais-Naskapi,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Ojibway,15,15,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Oji-Cree,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"        Algonquian languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Athapaskan languages,15,15,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Carrier,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Chilcotin,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Chipewyan,10,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Dene,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Dogrib,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        North Slave (Hare),0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        South Slave,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"        Athapaskan languages, n.i.e.",10,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Haida,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Iroquoian languages,10,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Mohawk,10,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Kutenai,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Salish languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Shuswap,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Thompson (Ntlakapamux),0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"        Salish languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Siouan languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Dakota/Sioux,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Tlingit,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Tsimshian languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Tsimshian,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Gitksan,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Nishga,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Wakashan languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Nootka,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"        Wakashan languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Inuktitut (Eskimo),25,25,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Aboriginal languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Romance languages,1635,1330,0,285,20
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Italian,845,710,0,120,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Portuguese,315,245,0,75,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Romanian,35,30,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Spanish,445,350,0,80,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Romance languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Germanic languages,5610,4880,0,615,120
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      German,2760,2255,0,395,105
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Yiddish,65,60,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Netherlandic languages,2290,2090,0,200,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Dutch,2180,2010,0,170,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Flemish,50,30,0,20,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Frisian,55,50,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Scandinavian languages,480,455,0,20,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Danish,215,200,0,20,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Icelandic,10,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Norwegian,205,200,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Swedish,45,45,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Germanic languages, n.i.e.",20,20,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Celtic languages,440,420,0,20,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Gaelic languages,410,390,0,20,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Welsh,35,30,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Celtic languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Slavic languages,2090,1725,0,310,55
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Bulgarian,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Byelorussian,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Croatian,165,150,0,15,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Czech,135,110,0,25,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Macedonian,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Polish,795,680,0,110,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Russian,205,140,0,40,25
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Serbian,55,45,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Serbo-Croatian,190,160,0,20,15
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Slovak,110,75,0,30,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Slovenian,50,40,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Ukrainian,290,245,0,35,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Slavic languages, n.i.e.",80,70,0,15,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Baltic languages,110,80,0,25,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Latvian (Lettish),90,65,0,20,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Lithuanian,20,15,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Finno-Ugric languages,470,385,0,85,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Estonian,65,55,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Finnish,95,70,0,20,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Hungarian,305,255,0,55,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Greek,930,735,0,110,85
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Armenian,30,20,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Turkic languages,65,60,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Turkish,60,55,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Turkic languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Semitic languages,3160,2565,0,420,175
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Amharic,70,65,0,0,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Arabic,2940,2370,0,400,165
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Hebrew,35,30,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Maltese,35,30,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Somali,20,20,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Tingringa,55,55,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Semitic languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Indo-Iranian languages,1895,1690,0,80,120
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Bengali,40,40,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Gujarati,135,120,0,10,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Hindi,485,425,0,15,40
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Konkani,0,0,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Kurdish,65,65,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Marathi,25,25,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Pashto,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Persian (Farsi),245,200,0,40,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Punjabi,390,370,0,10,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Sindhi,20,20,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Sinhalese,45,40,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Urdu,430,375,0,10,50
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Indo-Iranian languages, n.i.e.",10,10,0,0,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Dravidian languages,225,210,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Kannada,10,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Malayalam,15,15,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Tamil,155,135,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Telugu,45,50,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Dravidian languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Japanese,170,140,0,10,15
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Korean,230,180,0,25,20
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Sino-Tibetan languages,2130,1760,0,60,305
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Chinese,2125,1760,0,60,310
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Sino-Tibetan languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Tai languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Lao,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Thai,0,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Austro-Asiatic languages,425,345,0,55,20
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Khmer (Cambodian),0,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Vietnamese,420,340,0,55,25
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Austro-Asiatic languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Malayo-Polynesian languages,375,360,0,10,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Malay-Bahasa,25,30,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Tagalog (Pilipino),310,300,0,0,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Malayo-Polynesian languages, n.i.e.",30,25,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"    Asiatic languages, n.i.e.",10,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Niger-Congo languages,140,130,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Bantu languages,50,45,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,        Swahili,15,15,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"        Bantu languages, n.i.e.",40,30,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,      Twi,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"      Niger-Congo languages, n.i.e.",85,85,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"    African languages, n.i.e.",0,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Creoles,50,35,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,    Other languages,225,160,0,0,65
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,Multiple responses,4195,2125,0,2010,60
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,  English and French,2400,640,0,1755,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,  English and non-official language,1635,1445,0,130,60
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,  French and non-official language,100,30,0,70,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,Total - Sex,"  English, French and non-official language",55,0,0,50,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,Total - Detailed Mother Tongue,438775,399345,560,38305,560
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,Single responses,436755,398295,560,37380,520
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,  English,407320,386775,10,20465,60
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,  French,16915,560,550,15800,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,  Non-official languages,12530,10960,0,1110,455
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,    Aboriginal languages,1985,1915,0,10,60
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Algonquian languages,1980,1910,0,10,65
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Algonquin,10,0,0,0,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Attikamek,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Blackfoot,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Cree,15,15,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Malecite,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Micmac,1955,1890,0,10,55
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Montagnais-Naskapi,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Ojibway,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Oji-Cree,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"        Algonquian languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Athapaskan languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Carrier,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Chilcotin,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Chipewyan,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Dene,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Dogrib,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Kutchin-Gwich'in (Loucheux),0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        North Slave (Hare),0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        South Slave,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"        Athapaskan languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Haida,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Iroquoian languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Mohawk,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"        Iroquoian languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Kutenai,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Salish languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Shuswap,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Thompson (Ntlakapamux),0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"        Salish languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Siouan languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Dakota/Sioux,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Tlingit,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Tsimshian languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Tsimshian,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Gitksan,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Nishga,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Wakashan languages,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Nootka,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"        Wakashan languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Inuktitut (Eskimo),0,10,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"      Aboriginal languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,    Romance languages,840,715,0,130,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Italian,460,400,0,60,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Portuguese,170,135,0,40,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Romanian,20,15,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Spanish,190,160,0,30,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"      Romance languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,    Germanic languages,2790,2405,0,330,55
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      German,1310,1065,0,195,55
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Yiddish,20,20,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Netherlandic languages,1150,1025,0,125,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Dutch,1100,990,0,115,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Flemish,10,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Frisian,35,30,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Scandinavian languages,290,280,0,10,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Danish,130,115,0,10,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Icelandic,0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Norwegian,140,135,0,0,10
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,        Swedish,20,20,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"      Germanic languages, n.i.e.",20,20,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,    Celtic languages,200,190,0,15,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Gaelic languages,175,165,0,15,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Welsh,25,20,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,"      Celtic languages, n.i.e.",0,0,0,0,0
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,    Slavic languages,1105,915,0,165,25
Nova Scotia - Nouvelle-Écosse (00012)   00000,  Male,      Bulgarian,0,0,0,0,0
