HLANO_2016_ID,HLANO_(Home_Language),MTNNO_2016_ID,MTNNO_(Mother_Tongue),HLNP_1991_ID,HLNP_(Home_Language),MTNP_1991_ID,MTNP_(Mother_Tongue),Equivalency_Class
,,,,3,English and French,3,English and French,Official_Languages
,,,,1,English single response,1,English single response,Official_Languages
,,,,2,French single response,2,French single response,Official_Languages
2,Aboriginal languages,2,Aboriginal languages,4,NOL: Aboriginal languages,4,NOL: Aboriginal languages,Aboriginal
24,All other languages,32,All other single languages,15,NOL: Other,18,NOL: Other,All_Other_Languages
,,,,16,NOL: Other (Atl./Terr. only),19,NOL: Other (Atl./Terr. only),All_Other_Languages
11,Arabic,3,Arabic,12,NOL: Arabic,15,NOL: Arabic,Arabic
20,Austro-Asiatic languages,20,Austro-Asiatic languages,11,NOL: Austro-Asiatic languages,14,NOL: Austro-Asiatic languages,Austro-Asiatic Languages
17,Cantonese,5,Cantonese,,,,,Chinese_Languages
19,Chinese languages,6,Chinese languages,10,NOL: Chinese,13,NOL: Chinese,Chinese_Languages
6,German,7,German,5,NOL: German,5,NOL: German,German
,,9,Greek,,,12,NOL: Greek,All_Other_Languages
3,Italian,13,Italian,6,NOL: Italian,7,NOL: Italian,Italian
,,,,,,6,NOL: Netherlandic languages,All_Other_Languages
,,28,Korean,,,,,All_Other_Languages
18,Mandarin,4,Mandarin,,,,,Chinese_Languages
,,31,Niger-Congo languages and other African languages,,,,,All_Other_Languages
1,No non-official language,1,No non-official language,,,,,Official_Languages
88,Not available,88,Not available,98,Not available,98,Not available,Not_Available
12,Other Afro-Asiatic and African languages,25,Other Afro-Asiatic languages,,,,,All_Other_Languages
,,27,Other Dravidian languages,,,,,All_Other_Languages
22,Other East and Southeast Asian languages,29,Other East and Southeast Asian languages,,,,,All_Other_Languages
10,Other European languages,21,Other European languages,,,,,All_Other_Languages
,,8,Other Germanic languages,,,,,All_Other_Languages
16,Other Indo-Iranian languages,12,Other Indo-Iranian languages,14,NOL: Other Indo-Iran.,17,NOL: Other Indo-Iran.,Other_Indo_Iranian_Languages
9,Slavic languages,23,Other Slavic languages,,,,,All_Other_Languages
15,Persian (Farsi),11,Persian (Farsi),,,,,Other_Indo_Iranian_Languages
8,Polish,14,Polish,9,NOL: Polish,10,NOL: Polish,Polish
5,Portuguese,15,Portuguese,8,NOL: Portuguese,9,NOL: Portuguese,Portuguese
13,Punjabi (Panjabi),16,Punjabi (Panjabi),13,NOL: Punjabi,16,NOL: Punjabi,Punjabi
7,Russian,22,Russian,,,,,All_Other_Languages
4,Spanish,17,Spanish,7,NOL: Spanish,8,NOL: Spanish,Spanish
21,"Tagalog (Pilipino, Filipino)",30,"Tagalog (Pilipino, Filipino)",,,,,All_Other_Languages
23,Tamil,26,Tamil,,,,,All_Other_Languages
,,18,Ukrainian,,,11,NOL: Ukrainian,All_Other_Languages
,,24,Uralic languages,,,,,All_Other_Languages
14,Urdu,10,Urdu,,,,,Other_Indo_Iranian_Languages
,,19,Vietnamese,,,,,Austro-Asiatic Languages